23259
21-143	Abramów
15-048	Bia³ystok
15-052	Bia³ystok
15-054	Bia³ystok
15-055	Bia³ystok
15-057	Bia³ystok
15-062	Bia³ystok
15-063	Bia³ystok
15-064	Bia³ystok
15-066	Bia³ystok
15-067	Bia³ystok
15-068	Bia³ystok
15-070	Bia³ystok
15-071	Bia³ystok
15-073	Bia³ystok
15-074	Bia³ystok
15-077	Bia³ystok
15-078	Bia³ystok
15-080	Bia³ystok
15-082	Bia³ystok
15-083	Bia³ystok
15-084	Bia³ystok
15-085	Bia³ystok
15-086	Bia³ystok
15-087	Bia³ystok
15-088	Bia³ystok
15-089	Bia³ystok
15-090	Bia³ystok
15-091	Bia³ystok
15-092	Bia³ystok
15-093	Bia³ystok
15-094	Bia³ystok
15-096	Bia³ystok
15-097	Bia³ystok
15-099	Bia³ystok
15-100	Bia³ystok
15-101	Bia³ystok
15-102	Bia³ystok
15-103	Bia³ystok
15-104	Bia³ystok
15-106	Bia³ystok
15-107	Bia³ystok
15-108	Bia³ystok
15-109	Bia³ystok
15-110	Bia³ystok
15-111	Bia³ystok
15-113	Bia³ystok
15-114	Bia³ystok
15-115	Bia³ystok
15-117	Bia³ystok
15-118	Bia³ystok
15-119	Bia³ystok
15-120	Bia³ystok
15-121	Bia³ystok
15-122	Bia³ystok
15-123	Bia³ystok
15-124	Bia³ystok
15-125	Bia³ystok
15-126	Bia³ystok
15-127	Bia³ystok
15-128	Bia³ystok
15-129	Bia³ystok
15-130	Bia³ystok
15-131	Bia³ystok
15-132	Bia³ystok
15-133	Bia³ystok
15-134	Bia³ystok
15-135	Bia³ystok
15-136	Bia³ystok
15-137	Bia³ystok
15-138	Bia³ystok
15-139	Bia³ystok
15-140	Bia³ystok
15-141	Bia³ystok
15-142	Bia³ystok
15-143	Bia³ystok
15-144	Bia³ystok
15-145	Bia³ystok
15-147	Bia³ystok
15-148	Bia³ystok
15-149	Bia³ystok
15-150	Bia³ystok
15-151	Bia³ystok
15-152	Bia³ystok
15-153	Bia³ystok
15-155	Bia³ystok
15-156	Bia³ystok
15-157	Bia³ystok
15-158	Bia³ystok
15-159	Bia³ystok
15-160	Bia³ystok
15-161	Bia³ystok
15-162	Bia³ystok
15-163	Bia³ystok
15-164	Bia³ystok
15-165	Bia³ystok
15-166	Bia³ystok
15-167	Bia³ystok
15-168	Bia³ystok
15-169	Bia³ystok
15-170	Bia³ystok
15-171	Bia³ystok
15-173	Bia³ystok
15-174	Bia³ystok
15-175	Bia³ystok
15-176	Bia³ystok
15-177	Bia³ystok
15-178	Bia³ystok
15-180	Bia³ystok
15-181	Bia³ystok
15-182	Bia³ystok
15-183	Bia³ystok
15-184	Bia³ystok
15-185	Bia³ystok
15-186	Bia³ystok
15-187	Bia³ystok
15-188	Bia³ystok
15-189	Bia³ystok
15-191	Bia³ystok
15-192	Bia³ystok
15-193	Bia³ystok
15-194	Bia³ystok
15-195	Bia³ystok
15-196	Bia³ystok
15-197	Bia³ystok
15-198	Bia³ystok
15-199	Bia³ystok
15-201	Bia³ystok
15-202	Bia³ystok
15-203	Bia³ystok
15-204	Bia³ystok
15-205	Bia³ystok
15-206	Bia³ystok
15-207	Bia³ystok
15-208	Bia³ystok
15-209	Bia³ystok
15-210	Bia³ystok
15-211	Bia³ystok
15-213	Bia³ystok
15-214	Bia³ystok
15-215	Bia³ystok
15-218	Bia³ystok
15-219	Bia³ystok
15-220	Bia³ystok
15-222	Bia³ystok
15-223	Bia³ystok
15-224	Bia³ystok
15-225	Bia³ystok
15-227	Bia³ystok
15-229	Bia³ystok
15-230	Bia³ystok
15-232	Bia³ystok
15-233	Bia³ystok
15-234	Bia³ystok
15-235	Bia³ystok
15-236	Bia³ystok
15-237	Bia³ystok
15-238	Bia³ystok
15-239	Bia³ystok
15-240	Bia³ystok
15-241	Bia³ystok
15-242	Bia³ystok
15-244	Bia³ystok
15-245	Bia³ystok
15-246	Bia³ystok
15-247	Bia³ystok
15-249	Bia³ystok
15-250	Bia³ystok
15-251	Bia³ystok
15-252	Bia³ystok
15-253	Bia³ystok
15-254	Bia³ystok
15-255	Bia³ystok
15-256	Bia³ystok
15-257	Bia³ystok
15-258	Bia³ystok
15-259	Bia³ystok
15-260	Bia³ystok
15-261	Bia³ystok
15-262	Bia³ystok
15-263	Bia³ystok
15-264	Bia³ystok
15-265	Bia³ystok
15-266	Bia³ystok
15-267	Bia³ystok
15-268	Bia³ystok
15-269	Bia³ystok
15-270	Bia³ystok
15-271	Bia³ystok
15-272	Bia³ystok
15-274	Bia³ystok
15-275	Bia³ystok
15-276	Bia³ystok
15-277	Bia³ystok
15-278	Bia³ystok
15-279	Bia³ystok
15-281	Bia³ystok
15-282	Bia³ystok
15-283	Bia³ystok
15-284	Bia³ystok
15-285	Bia³ystok
15-287	Bia³ystok
15-288	Bia³ystok
15-289	Bia³ystok
15-290	Bia³ystok
15-291	Bia³ystok
15-292	Bia³ystok
15-293	Bia³ystok
15-294	Bia³ystok
15-295	Bia³ystok
15-297	Bia³ystok
15-298	Bia³ystok
15-301	Bia³ystok
15-302	Bia³ystok
15-304	Bia³ystok
15-305	Bia³ystok
15-306	Bia³ystok
15-307	Bia³ystok
15-308	Bia³ystok
15-309	Bia³ystok
15-311	Bia³ystok
15-312	Bia³ystok
15-317	Bia³ystok
15-321	Bia³ystok
15-322	Bia³ystok
15-323	Bia³ystok
15-324	Bia³ystok
15-325	Bia³ystok
15-327	Bia³ystok
15-328	Bia³ystok
15-333	Bia³ystok
15-335	Bia³ystok
15-336	Bia³ystok
15-337	Bia³ystok
15-338	Bia³ystok
15-339	Bia³ystok
15-340	Bia³ystok
15-341	Bia³ystok
15-342	Bia³ystok
15-343	Bia³ystok
15-344	Bia³ystok
15-345	Bia³ystok
15-346	Bia³ystok
15-347	Bia³ystok
15-348	Bia³ystok
15-349	Bia³ystok
15-350	Bia³ystok
15-351	Bia³ystok
15-352	Bia³ystok
15-353	Bia³ystok
15-354	Bia³ystok
15-355	Bia³ystok
15-356	Bia³ystok
15-357	Bia³ystok
15-362	Bia³ystok
15-363	Bia³ystok
15-364	Bia³ystok
15-365	Bia³ystok
15-367	Bia³ystok
15-369	Bia³ystok
15-370	Bia³ystok
15-371	Bia³ystok
15-372	Bia³ystok
15-373	Bia³ystok
15-374	Bia³ystok
15-376	Bia³ystok
15-377	Bia³ystok
15-378	Bia³ystok
15-379	Bia³ystok
15-380	Bia³ystok
15-381	Bia³ystok
15-382	Bia³ystok
15-386	Bia³ystok
15-387	Bia³ystok
15-388	Bia³ystok
15-390	Bia³ystok
15-391	Bia³ystok
15-393	Bia³ystok
15-394	Bia³ystok
15-395	Bia³ystok
15-396	Bia³ystok
15-397	Bia³ystok
15-398	Bia³ystok
15-399	Bia³ystok
15-401	Bia³ystok
15-402	Bia³ystok
15-404	Bia³ystok
15-405	Bia³ystok
15-406	Bia³ystok
15-407	Bia³ystok
15-408	Bia³ystok
15-410	Bia³ystok
15-411	Bia³ystok
15-412	Bia³ystok
15-413	Bia³ystok
15-414	Bia³ystok
15-415	Bia³ystok
15-416	Bia³ystok
15-417	Bia³ystok
15-418	Bia³ystok
15-420	Bia³ystok
15-421	Bia³ystok
15-422	Bia³ystok
15-423	Bia³ystok
15-424	Bia³ystok
15-425	Bia³ystok
15-426	Bia³ystok
15-427	Bia³ystok
15-428	Bia³ystok
15-429	Bia³ystok
15-430	Bia³ystok
15-431	Bia³ystok
15-432	Bia³ystok
15-434	Bia³ystok
15-435	Bia³ystok
15-436	Bia³ystok
15-437	Bia³ystok
15-439	Bia³ystok
15-440	Bia³ystok
15-441	Bia³ystok
15-442	Bia³ystok
15-443	Bia³ystok
15-444	Bia³ystok
15-445	Bia³ystok
15-446	Bia³ystok
15-448	Bia³ystok
15-449	Bia³ystok
15-450	Bia³ystok
15-452	Bia³ystok
15-453	Bia³ystok
15-455	Bia³ystok
15-459	Bia³ystok
15-460	Bia³ystok
15-461	Bia³ystok
15-463	Bia³ystok
15-464	Bia³ystok
15-465	Bia³ystok
15-467	Bia³ystok
15-469	Bia³ystok
15-470	Bia³ystok
15-471	Bia³ystok
15-472	Bia³ystok
15-473	Bia³ystok
15-476	Bia³ystok
15-478	Bia³ystok
15-480	Bia³ystok
15-481	Bia³ystok
15-482	Bia³ystok
15-483	Bia³ystok
15-487	Bia³ystok
15-489	Bia³ystok
15-490	Bia³ystok
15-501	Bia³ystok
15-502	Bia³ystok
15-503	Bia³ystok
15-505	Bia³ystok
15-506	Bia³ystok
15-507	Bia³ystok
15-509	Bia³ystok
15-510	Bia³ystok
15-511	Bia³ystok
15-512	Bia³ystok
15-513	Bia³ystok
15-514	Bia³ystok
15-516	Bia³ystok
15-517	Bia³ystok
15-518	Bia³ystok
15-519	Bia³ystok
15-521	Bia³ystok
15-522	Bia³ystok
15-523	Bia³ystok
15-524	Bia³ystok
15-528	Bia³ystok
15-530	Bia³ystok
15-531	Bia³ystok
15-532	Bia³ystok
15-533	Bia³ystok
15-534	Bia³ystok
15-535	Bia³ystok
15-536	Bia³ystok
15-537	Bia³ystok
15-539	Bia³ystok
15-540	Bia³ystok
15-541	Bia³ystok
15-542	Bia³ystok
15-543	Bia³ystok
15-544	Bia³ystok
15-545	Bia³ystok
15-546	Bia³ystok
15-548	Bia³ystok
15-549	Bia³ystok
15-551	Bia³ystok
15-552	Bia³ystok
15-553	Bia³ystok
15-554	Bia³ystok
15-555	Bia³ystok
15-556	Bia³ystok
15-557	Bia³ystok
15-558	Bia³ystok
15-559	Bia³ystok
15-560	Bia³ystok
15-561	Bia³ystok
15-562	Bia³ystok
15-563	Bia³ystok
15-564	Bia³ystok
15-565	Bia³ystok
15-566	Bia³ystok
15-567	Bia³ystok
15-569	Bia³ystok
15-570	Bia³ystok
15-572	Bia³ystok
15-573	Bia³ystok
15-574	Bia³ystok
15-575	Bia³ystok
15-576	Bia³ystok
15-577	Bia³ystok
15-578	Bia³ystok
15-579	Bia³ystok
15-580	Bia³ystok
15-581	Bia³ystok
15-582	Bia³ystok
15-583	Bia³ystok
15-586	Bia³ystok
15-587	Bia³ystok
15-588	Bia³ystok
15-589	Bia³ystok
15-590	Bia³ystok
15-592	Bia³ystok
15-593	Bia³ystok
15-594	Bia³ystok
15-601	Bia³ystok
15-602	Bia³ystok
15-603	Bia³ystok
15-604	Bia³ystok
15-605	Bia³ystok
15-606	Bia³ystok
15-607	Bia³ystok
15-608	Bia³ystok
15-611	Bia³ystok
15-612	Bia³ystok
15-613	Bia³ystok
15-614	Bia³ystok
15-615	Bia³ystok
15-616	Bia³ystok
15-617	Bia³ystok
15-618	Bia³ystok
15-619	Bia³ystok
15-620	Bia³ystok
15-623	Bia³ystok
15-624	Bia³ystok
15-625	Bia³ystok
15-626	Bia³ystok
15-627	Bia³ystok
15-628	Bia³ystok
15-629	Bia³ystok
15-630	Bia³ystok
15-631	Bia³ystok
15-632	Bia³ystok
15-633	Bia³ystok
15-634	Bia³ystok
15-635	Bia³ystok
15-636	Bia³ystok
15-637	Bia³ystok
15-638	Bia³ystok
15-639	Bia³ystok
15-640	Bia³ystok
15-641	Bia³ystok
15-642	Bia³ystok
15-643	Bia³ystok
15-644	Bia³ystok
15-645	Bia³ystok
15-646	Bia³ystok
15-647	Bia³ystok
15-649	Bia³ystok
15-650	Bia³ystok
15-651	Bia³ystok
15-652	Bia³ystok
15-654	Bia³ystok
15-655	Bia³ystok
15-656	Bia³ystok
15-657	Bia³ystok
15-660	Bia³ystok
15-661	Bia³ystok
15-662	Bia³ystok
15-663	Bia³ystok
15-664	Bia³ystok
15-665	Bia³ystok
15-666	Bia³ystok
15-667	Bia³ystok
15-668	Bia³ystok
15-669	Bia³ystok
15-670	Bia³ystok
15-671	Bia³ystok
15-672	Bia³ystok
15-673	Bia³ystok
15-674	Bia³ystok
15-679	Bia³ystok
15-680	Bia³ystok
15-681	Bia³ystok
15-682	Bia³ystok
15-683	Bia³ystok
15-684	Bia³ystok
15-685	Bia³ystok
15-686	Bia³ystok
15-687	Bia³ystok
15-688	Bia³ystok
15-689	Bia³ystok
15-690	Bia³ystok
15-691	Bia³ystok
15-692	Bia³ystok
15-693	Bia³ystok
15-694	Bia³ystok
15-695	Bia³ystok
15-696	Bia³ystok
15-697	Bia³ystok
15-698	Bia³ystok
15-701	Bia³ystok
15-702	Bia³ystok
15-703	Bia³ystok
15-704	Bia³ystok
15-705	Bia³ystok
15-706	Bia³ystok
15-707	Bia³ystok
15-709	Bia³ystok
15-710	Bia³ystok
15-711	Bia³ystok
15-712	Bia³ystok
15-714	Bia³ystok
15-715	Bia³ystok
15-717	Bia³ystok
15-720	Bia³ystok
15-722	Bia³ystok
15-723	Bia³ystok
15-724	Bia³ystok
15-727	Bia³ystok
15-729	Bia³ystok
15-730	Bia³ystok
15-732	Bia³ystok
15-740	Bia³ystok
15-741	Bia³ystok
15-742	Bia³ystok
15-743	Bia³ystok
15-746	Bia³ystok
15-748	Bia³ystok
15-750	Bia³ystok
15-751	Bia³ystok
15-754	Bia³ystok
15-756	Bia³ystok
15-757	Bia³ystok
15-758	Bia³ystok
15-760	Bia³ystok
15-762	Bia³ystok
15-763	Bia³ystok
15-765	Bia³ystok
15-767	Bia³ystok
15-769	Bia³ystok
15-771	Bia³ystok
15-773	Bia³ystok
15-774	Bia³ystok
15-776	Bia³ystok
15-777	Bia³ystok
15-778	Bia³ystok
15-780	Bia³ystok
15-782	Bia³ystok
15-784	Bia³ystok
15-786	Bia³ystok
15-788	Bia³ystok
15-790	Bia³ystok
15-791	Bia³ystok
15-792	Bia³ystok
15-793	Bia³ystok
15-794	Bia³ystok
15-795	Bia³ystok
15-796	Bia³ystok
15-797	Bia³ystok
15-798	Bia³ystok
15-801	Bia³ystok
15-802	Bia³ystok
15-803	Bia³ystok
15-805	Bia³ystok
15-806	Bia³ystok
15-807	Bia³ystok
15-808	Bia³ystok
15-809	Bia³ystok
15-810	Bia³ystok
15-811	Bia³ystok
15-812	Bia³ystok
15-813	Bia³ystok
15-814	Bia³ystok
15-815	Bia³ystok
15-817	Bia³ystok
15-818	Bia³ystok
15-819	Bia³ystok
15-820	Bia³ystok
15-822	Bia³ystok
15-825	Bia³ystok
15-827	Bia³ystok
15-829	Bia³ystok
15-831	Bia³ystok
15-833	Bia³ystok
15-836	Bia³ystok
15-837	Bia³ystok
15-839	Bia³ystok
15-840	Bia³ystok
15-843	Bia³ystok
15-845	Bia³ystok
15-850	Bia³ystok
15-852	Bia³ystok
15-854	Bia³ystok
15-856	Bia³ystok
15-858	Bia³ystok
15-860	Bia³ystok
15-861	Bia³ystok
15-862	Bia³ystok
15-863	Bia³ystok
15-864	Bia³ystok
15-865	Bia³ystok
15-866	Bia³ystok
15-867	Bia³ystok
15-868	Bia³ystok
15-869	Bia³ystok
15-870	Bia³ystok
15-872	Bia³ystok
15-873	Bia³ystok
15-874	Bia³ystok
15-875	Bia³ystok
15-879	Bia³ystok
15-880	Bia³ystok
15-881	Bia³ystok
15-883	Bia³ystok
15-887	Bia³ystok
15-888	Bia³ystok
15-889	Bia³ystok
15-891	Bia³ystok
15-893	Bia³ystok
15-895	Bia³ystok
15-896	Bia³ystok
15-900	Bia³ystok
15-950	Bia³ystok
15-951	Bia³ystok
62-300	Bia³ê¿yce
38-340	Biecz
08-311	Bielany
55-077	Bielany Wroc³awskie
58-260	Bielawa
58-261	Bielawa
58-263	Bielawa
67-112	Bielawy
99-423	Bielawy K. £owicza
67-113	Bielawy k. G³ogowa
32-824	Bielcza k. Brzeska
83-135	Bielica
74-202	Bielice 
26-004	Bieliny
83-230	Bielsk
17-100	Bielsk Podlaski
09-230	Bielsk k. P³ocka
43-346	Bielsko Biala
43-316	Bielsko Biala
43-300	Bielsko Bia³a
43-301	Bielsko Bia³a
43-302	Bielsko Bia³a
43-303	Bielsko Bia³a
43-304	Bielsko Bia³a
43-305	Bielsko Bia³a
43-306	Bielsko Bia³a
43-307	Bielsko Bia³a
43-308	Bielsko Bia³a
43-309	Bielsko Bia³a
43-310	Bielsko Bia³a
43-311	Bielsko Bia³a
43-315	Bielsko Bia³a
43-316	Bielsko Bia³a
43-317	Bielsko Bia³a
43-318	Bielsko Bia³a
43-344	Bielsko Bia³a
43-350	Bielsko Bia³a
43-382	Bielsko Bia³a
43-346	Bielsko-Bia³a
47-240	Bierawa
26-720	Bierdzie¿
56-420	Bierutów
43-155	Bieruñ Nowy
43-150	Bieruñ Stary
62-302	Bierzglin
73-240	Bierzwnik
76-039	Biesiekierz
77-224	Biesowice
38-214	BieŸdziedza
09-320	Bie¿uñ
37-740	Bircza
62-007	Biskupice
63-510	Biskupice
11-300	Biskupiec K. Reszla
13-340	Biskupiec Pomorski
13-340	Biskupiec k. I³awy
88-409	Biskupin (sezon)
23-425	Biszcza
11-230	Bisztynek
23-400	Bi³goraj
23-401	Bi³goraj
77-324	Biñcze
42-290	Blachownia
42-293	Blachownia
66-350	Bledzew
09-452	Blichowo
62-814	Blizanów
36-221	Blizne
26-120	Bli¿yn
76-020	Bobolice
38-350	Bobowa k. Stró¿
83-212	Bobowo k. Starogardu
32-661	Bobrek k. Oœwiêcimia
66-627	Bobrowice
83-230	Bobrowiec
67-106	Bobrowniki
42-583	Bobrowniki k. Bêdzina
87-617	Bobrowniki n. Wis³¹
87-327	Bobrowo
37-542	Bobrówka k. Jaros³awia
32-700	Bochnia
32-701	Bochnia
09-470	Bodzanów k. P³ocka
27-420	Bodzechów
26-010	Bodzentyn
46-243	Bogacica
59-916	Bogatynia
59-920	Bogatynia
66-450	Bogdaniec
63-805	Bogdanki
28-210	Bogoria
36-040	Boguchwa³a
32-711	Bogucice
28-406	Bogucice k. Piñczowa
33-121	Bogumi³owice
44-295	Bogunice
06-541	Bogurzyn
58-370	Boguszów Gorce
58-371	Boguszów Gorce
58-372	Boguszów Gorce
07-325	Boguty Pianki
66-130	Bojad³a
63-940	Bojanowo Poznañskie
37-433	Bojanów k. Niska
08-122	Bojmie
44-162	Bojszów
32-082	Bolechowice
26-052	Bolechowice
78-523	Bolegorzyn
13-100	Bolejny
74-407	Boleszkowice
32-329	Boles³aw k. Olkusza
33-220	Boles³aw k. Tarnowa
98-430	Boles³awiec k. Wielunia
59-700	Boles³awiec Œl¹ski
59-701	Boles³awiec Œl¹ski
59-702	Boles³awiec Œl¹ski
59-703	Boles³awiec Œl¹ski
59-704	Boles³awiec Œl¹ski
64-305	Bolewice
64-305	Bolewicko
99-417	Bolimów
59-420	Bolków
84-239	Bolszewo
22-444	Bondyrz
87-851	Boniewo
76-009	Bonin
63-810	Borek
62-862	Borek
36-022	Borek Stary
57-110	Borek Strzeliñski
63-810	Borek Wielkopolski
87-510	Borki
67-106	Borki
21-345	Borki Radzyñskie
49-345	Borkowice
49-345	Borkowice (B³a¿ejowie)
49-345	Borkowice (Niwy)
76-036	Borkowice k. Koszalina
26-422	Borkowice k. Koñskich
18-514	Borkowo
78-449	Borne Sulinowo
42-283	Boronów k. Lubliñca
83-115	Boroszewo
39-305	Borowa
08-412	Borowie k. Garwolina
67-112	Borowiec
83-047	Borowina
87-515	Borowo
77-138	Borowy M³yn
13-100	Borowy M³yn
33-262	Borusowa
42-683	Boruszowice
64-712	Boruszyn
83-224	Borzechowo
24-224	Borzechów k. Be³¿yc
83-335	Borzestowo
05-281	Borzymy
77-141	Borzytuchom
32-825	Borzêcin
76-246	Borzêcino
57-160	Borów
67-125	Borów Ko¿uchowski
67-125	Borów Wielki
17-111	Boæki
83-250	Bo¿epole Królewskie
84-214	Bo¿epole Wielkie
09-215	Bo¿ewo
57-441	Bo¿ków
63-640	Bralin
48-140	Branice
14-500	Braniewo
14-501	Braniewo
14-502	Braniewo
14-506	Braniewo
36-055	Bratkowice
32-712	Bratucice
17-120	Brañsk
07-221	Brañszczyk
62-621	Brdów
43-438	Brenna
78-553	Broczyno
87-300	Brodnica
87-301	Brodnica
87-302	Brodnica
83-324	Brodnica Górna
63-112	Brodnica Œremska
06-327	Brodowe £¹ki
27-230	Brody I³¿eckie
68-343	Brody ¯arskie
72-304	Brojce Gryfickie
07-306	Brok
62-862	Bronibór
62-302	Broniszewo
67-120	Broniszów
67-129	Broniszów k. Nowej Soli
62-720	Brudzew
09-414	Brudzeñ k. P³ocka
76-261	Bruskowo Wielkie
89-632	Brusy
33-192	Bruœnik
05-840	Brwinów
49-300	Brzeg
49-302	Brzeg
49-303	Brzeg
49-304	Brzeg
49-305	Brzeg
49-306	Brzeg
56-120	Brzeg Dolny
56-121	Brzeg Dolny
56-122	Brzeg Dolny
32-800	Brzesko
32-801	Brzesko
32-810	Brzesko
74-211	Brzesko Szczeciñskie
32-620	Brzeszcze
32-621	Brzeszcze
32-622	Brzeszcze
87-515	Brzeszczki Du¿e
87-515	Brzeszczki Ma³e
77-306	Brzezie k. Cz³uchowa
32-014	Brzezie k. Niepo³omic
46-021	Brzezie k. Opola
62-874	Brzeziny K. Kalisza
95-060	Brzeziny K. £odzi
39-111	Brzeziny k. Ropczyc
87-880	Brzeœæ Kujawski
68-113	BrzeŸnica
66-615	BrzeŸnica
39-207	BrzeŸnica Dêbicka
34-114	BrzeŸnica k. Skawiny
98-275	BrzeŸnio k. Sieradza
14-120	BrzeŸno Mazurskie
62-105	BrzeŸno Stare
77-139	BrzeŸno Szlacheckie
83-115	BrzeŸno Wielkie
22-174	BrzeŸno k. Che³ma
78-316	BrzeŸno k. Œwidwina
13-100	BrzeŸno £yñskie
39-230	Brzostek
86-061	Brzoza
87-313	Brzozie
33-182	Brzozowa
36-200	Brzozów
96-521	Brzozów k. Sochaczewa
87-517	Brzuze
38-212	Brzyska
37-304	Brzyska Wola
37-307	Brzóza Królewska
95-006	Brójce k. £odzi
98-277	Br¹szewice
98-113	Buczek
43-374	Buczkowice
67-108	Buczków
59-323	Buczynka
11-606	Budry
97-340	Budy Porajskie
66-615	Budynia
87-510	Budziska
97-212	Budziszewice
64-612	Budziszewko
62-541	Budzis³aw Koœcielny
36-021	Budziwój
64-840	Budzyñ
34-211	Budzów k. Suchej Beskidzkiej
13-100	Bujaki
97-423	Bujny Szlacheckie
64-320	Buk
22-107	Bukowa
29-144	Bukowa
86-122	Bukowiec
64-834	Bukowiec
86-122	Bukowiec Pomorski
26-343	Bukowiec n. Pilic¹
34-530	Bukowina Tatrzañska
32-332	Bukowno k. Olkusza
38-505	Bukowsko
67-120	Bulin
09-454	Bulkowo
32-652	Bulowice k. Oœwiêcimia
13-200	Burkat
13-200	Bursz
98-260	Burzenin
28-100	Busko Zdrój
28-101	Busko Zdrój
28-102	Busko Zdrój
86-012	Buszkowo k. Koronowa
23-100	Bychawa
23-101	Bychawka
46-220	Byczyna
85-001	Bydgoszcz
85-009	Bydgoszcz
85-090	Bydgoszcz
85-220	Bydgoszcz
85-377	Bydgoszcz
85-868	Bydgoszcz
85-779	Bydgoszcz
85-778	Bydgoszcz
85-713	Bydgoszcz
85-619	Bydgoszcz
85-003	Bydgoszcz
85-004	Bydgoszcz
85-005	Bydgoszcz
85-006	Bydgoszcz
85-007	Bydgoszcz
85-008	Bydgoszcz
85-010	Bydgoszcz
85-011	Bydgoszcz
85-012	Bydgoszcz
85-013	Bydgoszcz
85-014	Bydgoszcz
85-015	Bydgoszcz
85-016	Bydgoszcz
85-017	Bydgoszcz
85-018	Bydgoszcz
85-020	Bydgoszcz
85-021	Bydgoszcz
85-022	Bydgoszcz
85-023	Bydgoszcz
85-024	Bydgoszcz
85-025	Bydgoszcz
85-026	Bydgoszcz
85-027	Bydgoszcz
85-028	Bydgoszcz
85-029	Bydgoszcz
85-030	Bydgoszcz
85-031	Bydgoszcz
85-032	Bydgoszcz
85-033	Bydgoszcz
85-034	Bydgoszcz
85-035	Bydgoszcz
85-036	Bydgoszcz
85-037	Bydgoszcz
